id,key,slug,name,grade,parent_id,created_at,updated_at
1,africa,africa,africa,1,,"2017-12-28 04:32:12.821114","2017-12-28 04:32:12.821114"
2,antarctica,antarctica,antarctica,1,,"2017-12-28 04:32:13.405296","2017-12-28 04:32:13.405296"
3,asia,asia,asia,1,,"2017-12-28 04:32:13.417783","2017-12-28 04:32:13.417783"
4,caribbean,caribbean,caribbean,1,,"2017-12-28 04:32:13.700437","2017-12-28 04:32:13.700437"
5,"central america",central_america,"central america",1,,"2017-12-28 04:32:13.813862","2017-12-28 04:32:13.813862"
6,europe,europe,europe,1,,"2017-12-28 04:32:13.876690","2017-12-28 04:32:13.876690"
7,supra,supra,supra,1,,"2017-12-28 04:32:13.881614","2017-12-28 04:32:13.881614"
8,"middle east",middle_east,"middle east",1,,"2017-12-28 04:32:14.237184","2017-12-28 04:32:14.237184"
9,"north america",north_america,"north america",1,,"2017-12-28 04:32:14.364764","2017-12-28 04:32:14.364764"
10,pacific,pacific,pacific,1,,"2017-12-28 04:32:14.386760","2017-12-28 04:32:14.386760"
11,"south america",south_america,"south america",1,,"2017-12-28 04:32:14.517605","2017-12-28 04:32:14.517605"
12,territory,territory,territory,1,,"2017-12-28 04:32:14.634731","2017-12-28 04:32:14.634731"
